Categoria A,Categoria B,Pearson (r),Pearson (p),Spearman (ρ),Spearman (p),Correlação Absoluta
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Saúde,0.580023565439854,6.100953796418974e-08,0.3117632179545418,0.006851473920262853,0.580023565439854
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",HQ,-0.5407765463412081,6.561821322243089e-07,-0.6638845881538218,1.139021181283732e-10,0.5407765463412081
"transporte, Uber/Táxi, ônibus",Saúde,0.4871917132914824,1.0726735794351453e-05,0.4817075560858807,1.3914423179429942e-05,0.4871917132914824
"transporte, Uber/Táxi, ônibus","Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",0.48645056638928236,1.111353272270593e-05,0.6518384274386304,3.1692000122888167e-10,0.48645056638928236
"transporte, Uber/Táxi, ônibus",HQ,-0.4760815797680012,1.8087869578306343e-05,-0.49371515728730986,7.825307796922048e-06,0.4760815797680012
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Saúde,0.4706740454424424,2.3174751153126457e-05,0.6583138478046422,1.8388716427568274e-10,0.4706740454424424
Aparência,Bugigangas,0.4193597999198919,0.00019997827464118383,0.27546563142245567,0.017527161451755965,0.4193597999198919
Saúde,HQ,-0.41675286282144347,0.0002211362354149866,-0.5112619485595468,3.242084955742613e-06,0.41675286282144347
"transporte, Uber/Táxi, ônibus",Internet,-0.4151254699629285,0.0002353673267876305,-0.5898222583085531,3.207700172456506e-08,0.4151254699629285
Utilidades,Games,0.4008028636269797,0.0004020595557079623,0.28065513387680324,0.015431956812766014,0.4008028636269797
luz,Utilidades,0.38132407472510516,0.0008021800060940626,0.3730789911672208,0.0010612402661515812,0.38132407472510516
"Assinaturas, Netflix/Serviços de Streaming/Assinaturas",Bugigangas,0.3772287706116889,0.0009226496388970053,0.2856065597947915,0.013637742499697212,0.3772287706116889
Internet,HQ,0.37568197058746805,0.0009722639989491863,0.5830266716214372,5.0211534328521276e-08,0.37568197058746805
Livros,Games,0.3645547065303967,0.0014066347171976603,0.1877387588281954,0.10920579177816006,0.3645547065303967
"transporte, Uber/Táxi, ônibus",supermercado,0.3608742289729361,0.0015848925913622702,0.3864518231518863,0.0006715427350480141,0.3608742289729361
supermercado,Saúde,0.347731547742468,0.0023996589328932334,0.32778162978860237,0.004359639888013527,0.347731547742468
"Rolês/Saídas, Shows/Eventos, Restaurantes/Bares",Internet,-0.3463607911267006,0.002503257718851923,-0.6717181404972448,5.707722608492667e-11,0.3463607911267006
"Ifood/Semelhantes, Lanches/Almoço extra",Gás,-0.33905751186812483,0.0031257240772032007,-0.2974086945489913,0.010071522795147574,0.33905751186812483
Livros,Bugigangas,0.33505183201195776,0.0035228171549122264,0.1027180627615184,0.38382098824801625,0.33505183201195776
Saúde,Bugigangas,0.33057024391482226,0.004019814625633066,0.22602512160822474,0.05282136820953184,0.33057024391482226
